Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Manual_Match
2,227972,311040,1.364378081518783,0.5770557983866779,AS_STARTER_2-20240716,AS_STARTER_2-20240716_2,late_infected,FP,NA
3,241601,386299,1.598913083969023,0.6152237617455009,AS_STARTER_2-20240716,AS_STARTER_2-20240716_3,late_infected,TP,AS_STARTER_2-20240716_4
4,121795,328651,2.6983948437949015,0.7296124285707942,AS_STARTER_2-20240716,AS_STARTER_2-20240716_4,late_infected,TP,AS_STARTER_2-20240716_19
5,312132,392393,1.2571380057155306,0.5569610730634115,AS_STARTER_2-20240716,AS_STARTER_2-20240716_5,late_infected,TP,AS_STARTER_2-20240716_30
6,110629,195647,1.7684965063410136,0.6387931147069963,AS_STARTER_2-20240716,AS_STARTER_2-20240716_6,late_infected,TP,AS_STARTER_2-20240716_11
7,206390,399014,1.9333010320267456,0.6590871550237527,AS_STARTER_2-20240716,AS_STARTER_2-20240716_7,late_infected,TP,AS_STARTER_2-20240716_5
8,229391,444283,1.9367935097715256,0.659492574,AS_STARTER_2-20240716,AS_STARTER_2-20240716_8,late_infected,TP,AS_STARTER_2-20240716_1
9,79393,124043,1.5623921504414746,0.6097396724276922,AS_STARTER_2-20240716,AS_STARTER_2-20240716_9,late_infected,TP,AS_STARTER_2-20240716_24
10,90260,167843,1.8595501883447816,0.65029465,AS_STARTER_2-20240716,AS_STARTER_2-20240716_10,late_infected,TP,AS_STARTER_2-20240716_15
11,181795,276105,1.5187711433207731,0.6029810002183883,AS_STARTER_2-20240716,AS_STARTER_2-20240716_11,late_infected,FP,NA/10
12,72864,156112,2.142512077294686,0.681783244,AS_STARTER_2-20240716,AS_STARTER_2-20240716_12,late_infected,FP,NA
13,111267,202429,1.819308510160245,0.6453030959910232,AS_STARTER_2-20240716,AS_STARTER_2-20240716_13,late_infected,TP,AS_STARTER_2-20240716_17
14,99315,174435,1.7563812112973871,0.6372054794520547,AS_STARTER_2-20240716,AS_STARTER_2-20240716_14,late_infected,TP,AS_STARTER_2-20240716_7
15,93780,224146,2.390125826402218,0.7050256978038915,AS_STARTER_2-20240716,AS_STARTER_2-20240716_15,late_infected,TP,AS_STARTER_2-20240716_31
16,264332,310551,1.17485208,0.5401986143267413,AS_STARTER_2-20240716,AS_STARTER_2-20240716_16,late_infected,TP,AS_STARTER_2-20240716_22
17,89733,187261,2.0868688219495617,0.6760471345949732,AS_STARTER_2-20240716,AS_STARTER_2-20240716_17,late_infected,TP,AS_STARTER_2-20240716_12
18,88431,158424,1.7914984564236522,0.6417694598043385,AS_STARTER_2-20240716,AS_STARTER_2-20240716_18,late_infected,TP,AS_STARTER_2-20240716_28
19,129869,246238,1.896049095627132,0.6547019864028056,AS_STARTER_2-20240716,AS_STARTER_2-20240716_19,late_infected,TP,AS_STARTER_2-20240716_18
20,120087,230557,1.9199163939477213,0.6575244407433181,AS_STARTER_2-20240716,AS_STARTER_2-20240716_20,late_infected,TP,AS_STARTER_2-20240716_21
