Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
4,400605,296565,0.7402928071292171,0.4253840526700805,AS_STARTER_5-20240716,AS_STARTER_5-20240716_4,early_infected,TP,AS_STARTER_5-20240716_20,AS_STARTER_5-20240716_20
5,1088850,103275,0.094847775,0.086631016,AS_STARTER_5-20240716,AS_STARTER_5-20240716_5,uninfected,TP,AS_STARTER_5-20240716_18,AS_STARTER_5-20240716_18
6,860625,32640,0.037925926,0.036540108,AS_STARTER_5-20240716,AS_STARTER_5-20240716_6,uninfected,TP,AS_STARTER_5-20240716_17,AS_STARTER_5-20240716_17
7,897345,18360,0.020460358,0.020050125,AS_STARTER_5-20240716,AS_STARTER_5-20240716_7,uninfected,FP,NA/15,NA
8,913665,7650,0.008372872,0.008303349,AS_STARTER_5-20240716,AS_STARTER_5-20240716_8,uninfected,TP,AS_STARTER_5-20240716_3,AS_STARTER_5-20240716_3
9,48960,373065,7.619791666666667,0.8839879154078549,AS_STARTER_5-20240716,AS_STARTER_5-20240716_9,dead,FP,NA,NA
10,414120,0,0,0,AS_STARTER_5-20240716,AS_STARTER_5-20240716_10,uninfected,TP,AS_STARTER_5-20240716_7,AS_STARTER_5-20240716_7
11,170340,347310,2.038922155688623,0.670935961,AS_STARTER_5-20240716,AS_STARTER_5-20240716_11,late_infected,FP,NA,NA
12,536265,232305,0.43319067998097954,0.3022561380225614,AS_STARTER_5-20240716,AS_STARTER_5-20240716_12,early_infected,TP,AS_STARTER_5-20240716_8,AS_STARTER_5-20240716_8
13,679830,35445,0.052138035,0.049554367,AS_STARTER_5-20240716,AS_STARTER_5-20240716_13,uninfected,TP,AS_STARTER_5-20240716_14,AS_STARTER_5-20240716_14
14,861900,6885,0.007988166,0.007924861,AS_STARTER_5-20240716,AS_STARTER_5-20240716_14,uninfected,FP,NA/3,NA
1,5865,796365,135.7826086956522,0.9926891290527654,AS_Starter_1-20240711,AS_Starter_1-20240711_1,dead,FP,NA,NA
2,425085,0,0,0,AS_Starter_1-20240711,AS_Starter_1-20240711_2,uninfected,TP,AS_Starter_1-20240711_16,AS_Starter_1-20240711_16
3,753015,765,0.001015916,0.001014885,AS_Starter_1-20240711,AS_Starter_1-20240711_3,uninfected,TP,AS_Starter_1-20240711_10,AS_Starter_1-20240711_10
4,118575,672945,5.675268817204301,0.8501932989690721,AS_Starter_1-20240711,AS_Starter_1-20240711_4,dead,FP,NA,NA
5,575535,0,0,0,AS_Starter_1-20240711,AS_Starter_1-20240711_5,uninfected,TP,AS_Starter_1-20240711_1,AS_Starter_1-20240711_1
6,545190,0,0,0,AS_Starter_1-20240711,AS_Starter_1-20240711_6,uninfected,TP,AS_Starter_1-20240711_9,AS_Starter_1-20240711_9
7,449820,170085,0.3781179138321995,0.274372686,AS_Starter_1-20240711,AS_Starter_1-20240711_7,early_infected,TP,AS_Starter_1-20240711_38,AS_Starter_1-20240711_38
1,273105,122910,0.450046685,0.31036703155183515,AS_Starter_3-20240711,AS_Starter_3-20240711_1,early_infected,FP,NA/2,NA
2,646935,152745,0.23610563657863615,0.1910076530612245,AS_Starter_3-20240711,AS_Starter_3-20240711_2,uninfected,TP,AS_Starter_3-20240711_1,AS_Starter_3-20240711_1
3,517905,87210,0.16838995568685378,0.14412136536030343,AS_Starter_3-20240711,AS_Starter_3-20240711_3,uninfected,TP,AS_Starter_3-20240711_16,AS_Starter_3-20240711_16
4,293760,20910,0.071180556,0.066450567,AS_Starter_3-20240711,AS_Starter_3-20240711_4,uninfected,TP,AS_Starter_3-20240711_36,AS_Starter_3-20240711_36
5,289680,202215,0.6980633802816901,0.4110938310005184,AS_Starter_3-20240711,AS_Starter_3-20240711_5,early_infected,TP,AS_Starter_3-20240711_2,AS_Starter_3-20240711_2
6,311355,0,0,0,AS_Starter_3-20240711,AS_Starter_3-20240711_6,uninfected,TP,AS_Starter_3-20240711_5,AS_Starter_3-20240711_5
7,213180,2550,0.011961722,0.011820331,AS_Starter_3-20240711,AS_Starter_3-20240711_7,uninfected,TP,AS_Starter_3-20240711_34,AS_Starter_3-20240711_34
8,264690,18870,0.071290944,0.066546763,AS_Starter_3-20240711,AS_Starter_3-20240711_8,uninfected,TP,AS_Starter_3-20240711_13,AS_Starter_3-20240711_13
